Run1:
Estimate of Posterior Sizes:
Marginal Association Size:
0: 0.791, 1: 0.187, 2: 0.020, 3: 0.001, 4: 0.000, 5: 0.000, 
Interaction Association Size:
0: 0.000, 2: 0.000, 3: 1.000, 
Metropolis-Hastings Acceptance Rates:
burnin: 0.022,	move0= 0.000,	move1= 0.089,	move2= 0.000,	
---------------------------------------------------
826 :	 B-stat = 14.997512	 P = 0.553773
841 :	 B-stat = 14.465618	 P = 0.722489
256 :	 B-stat = 13.830888	 P = 0.992341
971 :	 B-stat = 14.036978	 P = 0.895177
875 :	 B-stat = 10.617903	 P = 1.000000
252 :	 B-stat = 10.276089	 P = 1.000000
99 :	 B-stat = 9.323028	 P = 1.000000
247 :	 B-stat = 8.732826	 P = 1.000000
507 :	 B-stat = 10.422122	 P = 1.000000
13 :	 B-stat = 9.365071	 P = 1.000000
590 :	 B-stat = 6.172723	 P = 1.000000
133 :	 B-stat = 7.821679	 P = 1.000000
607 :	 B-stat = 6.113244	 P = 1.000000
542 :	 B-stat = 4.097563	 P = 1.000000
509 :	 B-stat = 6.270044	 P = 1.000000
544 :	 B-stat = 4.655914	 P = 1.000000
251 :	 B-stat = 1.655882	 P = 1.000000
114 :	 B-stat = 10.083040	 P = 1.000000
62 :	 B-stat = 6.241967	 P = 1.000000
747 :	 B-stat = 8.267509	 P = 1.000000
815 :	 B-stat = 4.864419	 P = 1.000000
215 :	 B-stat = 9.435800	 P = 1.000000
831 :	 B-stat = 7.168616	 P = 1.000000
796 :	 B-stat = 5.352800	 P = 1.000000
592 :	 B-stat = 8.531843	 P = 1.000000
658 :	 B-stat = 1.378255	 P = 1.000000
944 :	 B-stat = 2.886078	 P = 1.000000
762 :	 B-stat = 8.555145	 P = 1.000000
790 :	 B-stat = 0.204735	 P = 1.000000
518 :	 B-stat = 0.404298	 P = 1.000000
560 :	 B-stat = 0.413245	 P = 1.000000
787 :	 B-stat = 3.834185	 P = 1.000000
538 :	 B-stat = 1.128899	 P = 1.000000
734 :	 B-stat = 7.519468	 P = 1.000000
633 :	 B-stat = 0.339730	 P = 1.000000
933 :	 B-stat = 1.182907	 P = 1.000000
586 :	 B-stat = 4.393341	 P = 1.000000
931 :	 B-stat = 7.077526	 P = 1.000000
978 :	 B-stat = 7.537726	 P = 1.000000
988 :	 B-stat = 0.400876	 P = 1.000000
754 :	 B-stat = 7.195813	 P = 1.000000
927 :	 B-stat = 3.177436	 P = 1.000000
649 :	 B-stat = 0.744044	 P = 1.000000
811 :	 B-stat = 0.185579	 P = 1.000000
598 :	 B-stat = 0.076168	 P = 1.000000
778 :	 B-stat = 3.965579	 P = 1.000000
613 :	 B-stat = 4.062716	 P = 1.000000
921 :	 B-stat = 2.904050	 P = 1.000000
584 :	 B-stat = 0.776771	 P = 1.000000
645 :	 B-stat = 0.971756	 P = 1.000000
457 :	 B-stat = 0.195751	 P = 1.000000
405 :	 B-stat = 5.876488	 P = 1.000000
401 :	 B-stat = 9.834760	 P = 1.000000
377 :	 B-stat = 7.312334	 P = 1.000000
369 :	 B-stat = 3.254900	 P = 1.000000
365 :	 B-stat = 3.024379	 P = 1.000000
363 :	 B-stat = 7.230830	 P = 1.000000
307 :	 B-stat = 6.092558	 P = 1.000000
302 :	 B-stat = 5.270170	 P = 1.000000
290 :	 B-stat = 0.152483	 P = 1.000000
263 :	 B-stat = 4.748554	 P = 1.000000
772 :	 B-stat = 1.692774	 P = 1.000000
253 :	 B-stat = 5.578447	 P = 1.000000
958 :	 B-stat = 2.550404	 P = 1.000000
572 :	 B-stat = 2.489552	 P = 1.000000
913 :	 B-stat = 0.968327	 P = 1.000000
227 :	 B-stat = 2.411245	 P = 1.000000
514 :	 B-stat = 2.526097	 P = 1.000000
176 :	 B-stat = 0.300715	 P = 1.000000
163 :	 B-stat = 2.475294	 P = 1.000000
156 :	 B-stat = 1.000860	 P = 1.000000
154 :	 B-stat = 4.730631	 P = 1.000000
149 :	 B-stat = 4.214993	 P = 1.000000
146 :	 B-stat = 2.138439	 P = 1.000000
805 :	 B-stat = 7.371910	 P = 1.000000
117 :	 B-stat = 4.487459	 P = 1.000000
721 :	 B-stat = 4.994453	 P = 1.000000
105 :	 B-stat = 3.303643	 P = 1.000000
910 :	 B-stat = 0.422450	 P = 1.000000
80 :	 B-stat = 0.529529	 P = 1.000000
64 :	 B-stat = 3.483498	 P = 1.000000
479 :	 B-stat = 5.450923	 P = 1.000000
59 :	 B-stat = 2.362515	 P = 1.000000
50 :	 B-stat = 7.469354	 P = 1.000000
39 :	 B-stat = 4.948414	 P = 1.000000
36 :	 B-stat = 5.739430	 P = 1.000000
24 :	 B-stat = 7.919559	 P = 1.000000
14 :	 B-stat = 1.683097	 P = 1.000000
918 :	 B-stat = 7.310029	 P = 1.000000
4 :	 B-stat = 3.723185	 P = 1.000000
954 :	 B-stat = 0.132330	 P = 1.000000
30, 20 :	 B-stat = 33.889419	 P = 1.000000
30, 10 :	 B-stat = 35.233981	 P = 1.000000
20, 10 :	 B-stat = 46.382679	 P = 0.100410
(10, 20), 30 :	 B-stat = 74.626591	 P = 1.000000
