Run1:
Estimate of Posterior Sizes:
Marginal Association Size:
0: 0.800, 1: 0.181, 2: 0.018, 3: 0.001, 4: 0.000, 5: 0.000, 
Interaction Association Size:
0: 0.000, 2: 0.000, 3: 1.000, 
Metropolis-Hastings Acceptance Rates:
burnin: 0.024,	move0= 0.000,	move1= 0.087,	move2= 0.000,	
---------------------------------------------------
826 :	 B-stat = 14.997512	 P = 0.553773
841 :	 B-stat = 14.465618	 P = 0.722489
971 :	 B-stat = 14.036978	 P = 0.895177
256 :	 B-stat = 13.830888	 P = 0.992341
13 :	 B-stat = 9.365071	 P = 1.000000
99 :	 B-stat = 9.323028	 P = 1.000000
507 :	 B-stat = 10.422122	 P = 1.000000
401 :	 B-stat = 9.834760	 P = 1.000000
747 :	 B-stat = 8.267509	 P = 1.000000
592 :	 B-stat = 8.531843	 P = 1.000000
252 :	 B-stat = 10.276089	 P = 1.000000
247 :	 B-stat = 8.732826	 P = 1.000000
113 :	 B-stat = 8.551458	 P = 1.000000
24 :	 B-stat = 7.919559	 P = 1.000000
744 :	 B-stat = 5.675468	 P = 1.000000
784 :	 B-stat = 6.028022	 P = 1.000000
694 :	 B-stat = 7.752613	 P = 1.000000
762 :	 B-stat = 8.555145	 P = 1.000000
875 :	 B-stat = 10.617903	 P = 1.000000
590 :	 B-stat = 6.172723	 P = 1.000000
363 :	 B-stat = 7.230830	 P = 1.000000
302 :	 B-stat = 5.270170	 P = 1.000000
215 :	 B-stat = 9.435800	 P = 1.000000
84 :	 B-stat = 6.652262	 P = 1.000000
714 :	 B-stat = 5.414919	 P = 1.000000
918 :	 B-stat = 7.310029	 P = 1.000000
713 :	 B-stat = 1.145936	 P = 1.000000
738 :	 B-stat = 0.267335	 P = 1.000000
771 :	 B-stat = 3.742895	 P = 1.000000
557 :	 B-stat = 4.727585	 P = 1.000000
769 :	 B-stat = 1.015262	 P = 1.000000
509 :	 B-stat = 6.270044	 P = 1.000000
508 :	 B-stat = 6.649813	 P = 1.000000
810 :	 B-stat = 2.713096	 P = 1.000000
648 :	 B-stat = 2.778877	 P = 1.000000
857 :	 B-stat = 4.748126	 P = 1.000000
808 :	 B-stat = 1.267266	 P = 1.000000
686 :	 B-stat = 3.112434	 P = 1.000000
666 :	 B-stat = 3.316390	 P = 1.000000
805 :	 B-stat = 7.371910	 P = 1.000000
706 :	 B-stat = 1.015141	 P = 1.000000
803 :	 B-stat = 3.717143	 P = 1.000000
802 :	 B-stat = 4.421959	 P = 1.000000
958 :	 B-stat = 2.550404	 P = 1.000000
538 :	 B-stat = 1.128899	 P = 1.000000
646 :	 B-stat = 2.208673	 P = 1.000000
630 :	 B-stat = 0.916914	 P = 1.000000
531 :	 B-stat = 2.351226	 P = 1.000000
661 :	 B-stat = 1.418142	 P = 1.000000
756 :	 B-stat = 5.440274	 P = 1.000000
755 :	 B-stat = 2.114262	 P = 1.000000
961 :	 B-stat = 0.104934	 P = 1.000000
947 :	 B-stat = 0.680974	 P = 1.000000
938 :	 B-stat = 5.887828	 P = 1.000000
520 :	 B-stat = 0.786938	 P = 1.000000
833 :	 B-stat = 1.732507	 P = 1.000000
